free_text,label_id
"Cần thuê phòng gấp, alo mình 0903284647",0
Có gì cứ liên hệ tớ qua 0881368511 nha bạn,0
"Cơ hội làm giàu không khó, truy cập https://bit.ly/mm1lsdqk",3
Bạn ơi gọi mình số 0883087756 để chốt lịch nhé,0
Có gì cứ liên hệ tớ qua 0778345602 nha bạn,0
"Việc nhẹ lương cao tại nhà, liên hệ ngay 0792554581",3
Cho mình đặt phòng số 0916374272 nhé shop,0
Gửi mình thông tin qua https://t.me/sb6tgzel nhé,0
Nhận ngay 500k tiền thưởng tại https://bit.ly/s5d967v3,3
"Cơ hội làm giàu không khó, truy cập https://bit.ly/wirg8n42",3
Nhận quà tri ân từ Shopee tại https://tinyurl.com/pea2mhev,3
"Hỗ trợ mình qua số 0354091455 với, app bị lỗi",0
"Mình cần đặt lịch khám, sđt 0916773678",0
"Hack vàng, hack kim cương cực uy tín tại https://tinyurl.com/8p2c4b64",3
Nhận ngay 500k tiền thưởng tại https://t.me/4whpap2w,3
"Game nổ hũ cực lớn, click https://zalo.me/v05k24az nhận code",3
"Shop ơi số mình 0919594900, ship cho mình nhé",0
Mọi người xem menu quán ở đây nha: https://gg.gg/451bw4ww,0
Nhận quà tri ân từ Shopee tại https://gg.gg/xmez6aae,3
"Thu mua sim số đẹp giá cao, liên hệ 0775136829",3
Nhận quà tri ân từ Shopee tại https://shope.ee/m1vr3xkx,3
"Bạn trúng thưởng 1 xe SH, xác thực tại https://t.me/l7a98fqo",3
"Kiếm tiền triệu mỗi ngày, click https://t.me/mqbuf0tm",3
"Kiếm tiền triệu mỗi ngày, click https://t.me/ftoftl5e",3
Link shopee mình mua cái này nè: https://gg.gg/t40yp5pk,0
"Cơ hội làm giàu không khó, truy cập https://tinyurl.com/7t2smuhi",3
Có gì cứ liên hệ tớ qua 0884166294 nha bạn,0
"Game nổ hũ cực lớn, click https://bit.ly/yf3owk6n nhận code",3
Nhận ngay 500k tiền thưởng tại https://shope.ee/gzrob5gv,3
"Thu mua sim số đẹp giá cao, liên hệ 0335448583",3
"Kiếm tiền triệu mỗi ngày, click https://tinyurl.com/e73zlywb",3
Nhận quà tri ân từ Shopee tại https://gg.gg/3ds5180s,3
"Tài khoản bị khóa, vào https://bit.ly/me5e78e4 để mở",3
Nhận quà tri ân từ Shopee tại https://zalo.me/pn6oz1mb,3
Shop gọi lại số 0382577199 tư vấn tour nhé,0
"Cơ hội làm giàu không khó, truy cập https://t.me/7eybp6wu",3
"Kiếm tiền triệu mỗi ngày, click https://tinyurl.com/gui3bp5x",3
Shop gọi lại số 0798433550 tư vấn tour nhé,0
"Tuyển CTV online lương 10tr/tháng, ib zalo 0332926384",3
"Số của mình là 0889934317, có gì alo nha",0
Check inbox hoặc gọi mình 0813854800 để lấy hàng,0
"Cần thuê phòng gấp, alo mình 0912726854",0
"Mình cần đặt lịch khám, sđt 0911921479",0
"Việc nhẹ lương cao tại nhà, liên hệ ngay 0342568677",3
Có gì cứ liên hệ tớ qua 0905042390 nha bạn,0
Link đăng ký sự kiện cho ai cần: https://zalo.me/y1k86af3,0
"Số của mình là 0339375385, có gì alo nha",0
Đây là link driver ảnh hôm qua nhé: https://tinyurl.com/82238fh1,0
"Việc nhẹ lương cao tại nhà, liên hệ ngay 0347970200",3
"Web cá độ uy tín, nạp đầu tặng 100%, link https://tinyurl.com/bpt3hhue",3
"Cần thuê phòng gấp, alo mình 0348587922",0
"Bán bằng lái xe, hồ sơ gốc liên hệ 0884087136",3
Link shopee mình mua cái này nè: https://zalo.me/s01v2hiy,0
"Tuyển CTV online lương 10tr/tháng, ib zalo 0981427555",3
Đây là link driver ảnh hôm qua nhé: https://gg.gg/ud537d9l,0
Link tài liệu học tập đây nhé mn: https://bit.ly/kasjm2po,0
Nhận làm chứng chỉ ngoại ngữ giá rẻ 0816150347,3
Link đăng ký sự kiện cho ai cần: https://shope.ee/yz8jf58g,0
"Số của mình là 0354780870, có gì alo nha",0
Gửi mình thông tin qua https://zalo.me/4dxt9hp8 nhé,0
"Kiếm tiền triệu mỗi ngày, click https://bit.ly/d803zhwx",3
"Tuyển CTV online lương 10tr/tháng, ib zalo 0812574125",3
"Gái gọi cao cấp, xem ảnh tại https://t.me/u6k4fp5q",3
"Dịch vụ thám tử tư bảo mật, hotline 0909973905",3
"Bán bằng lái xe, hồ sơ gốc liên hệ 0384722168",3
"Tài khoản bị khóa, vào https://bit.ly/m2054lef để mở",3
Gửi mình thông tin qua https://gg.gg/ajlt2ybv nhé,0
"Bán bằng lái xe, hồ sơ gốc liên hệ 0811649518",3
"Check đơn giúp mình, sđt mình 0916980863",0
Shop gọi lại số 0343235562 tư vấn tour nhé,0
"Cần tiền gọi ngay 0814137994, hỗ trợ nợ xấu",3
"Vay vốn nhanh không thế chấp, alo 0814097595",3
Đây là link driver ảnh hôm qua nhé: https://bit.ly/pnsqw95r,0
"Bán bằng lái xe, hồ sơ gốc liên hệ 0339653110",3
Link shopee mình mua cái này nè: https://t.me/5dsa8x5w,0
"Mình cần đặt lịch khám, sđt 0351859982",0
Nhận ngay 500k tiền thưởng tại https://t.me/76n800df,3
"Thu mua sim số đẹp giá cao, liên hệ 0774100680",3
"Bên mình cung cấp phôi bằng các loại, alo 0792776544",3
"Hỗ trợ mình qua số 0813188903 với, app bị lỗi",0
Bạn ơi gọi mình số 0335279127 để chốt lịch nhé,0
Gửi mình thông tin qua https://bit.ly/yrp6n8qi nhé,0
"Web cá độ uy tín, nạp đầu tặng 100%, link https://t.me/vvq7jgmi",3
Link shopee mình mua cái này nè: https://shope.ee/st73m673,0
"Hỗ trợ mình qua số 0774688184 với, app bị lỗi",0
"Bán bằng lái xe, hồ sơ gốc liên hệ 0381856218",3
Link shopee mình mua cái này nè: https://gg.gg/p18gk1bl,0
"Dịch vụ thám tử tư bảo mật, hotline 0911203900",3
"Kiếm tiền triệu mỗi ngày, click https://zalo.me/zc7qnb36",3
Link đăng ký sự kiện cho ai cần: https://zalo.me/fe6upsni,0
"Gái gọi cao cấp, xem ảnh tại https://t.me/0jkq0rj5",3
Có gì cứ liên hệ tớ qua 0775128955 nha bạn,0
Shop gọi lại số 0881905449 tư vấn tour nhé,0
Có gì cứ liên hệ tớ qua 0916513323 nha bạn,0
"Bán bằng lái xe, hồ sơ gốc liên hệ 0799413908",3
"Vay vốn nhanh không thế chấp, alo 0346142245",3
"Dịch vụ thám tử tư bảo mật, hotline 0332392990",3
"Mình cần đặt lịch khám, sđt 0912730962",0
"Tài khoản bị khóa, vào https://gg.gg/s70iv77o để mở",3
"Cần thuê phòng gấp, alo mình 0385004895",0
Check inbox hoặc gọi mình 0339853011 để lấy hàng,0
Bạn ơi gọi mình số 0814569733 để chốt lịch nhé,0
"Web cá độ uy tín, nạp đầu tặng 100%, link https://zalo.me/mdqatsl9",3
Nhận quà tri ân từ Shopee tại https://zalo.me/qtaorsxm,3
Nhận làm chứng chỉ ngoại ngữ giá rẻ 0347735050,3
Gửi mình thông tin qua https://bit.ly/26jkl1zr nhé,0
"Game nổ hũ cực lớn, click https://shope.ee/41muyt84 nhận code",3
"Tuyển CTV online lương 10tr/tháng, ib zalo 0982460257",3
"Gái gọi cao cấp, xem ảnh tại https://gg.gg/zjkjes88",3
Cho mình đặt phòng số 0797310635 nhé shop,0
"Bán bằng lái xe, hồ sơ gốc liên hệ 0916379407",3
"Kiếm tiền triệu mỗi ngày, click https://shope.ee/nm7chkfv",3
"Web cá độ uy tín, nạp đầu tặng 100%, link https://gg.gg/qssbr1ay",3
Check inbox hoặc gọi mình 0816061416 để lấy hàng,0
"Kiếm tiền triệu mỗi ngày, click https://gg.gg/mu5uo64w",3
"Tài khoản bị khóa, vào https://shope.ee/3uezojwy để mở",3
"Bán số lô số đề chuẩn 100%, add zalo 0331876517",3
"Bạn trúng thưởng 1 xe SH, xác thực tại https://t.me/wl5uij58",3
"Shop ơi số mình 0353397152, ship cho mình nhé",0
"Hỗ trợ mình qua số 0773809832 với, app bị lỗi",0
"Web cá độ uy tín, nạp đầu tặng 100%, link https://bit.ly/lcl9ovtw",3
"Ai cần tư vấn cứ gọi 0819641095, mình rảnh lúc 5h",0
Nhận quà tri ân từ Shopee tại https://tinyurl.com/y28ewpvc,3
"Thu mua sim số đẹp giá cao, liên hệ 0357869600",3
"Hack vàng, hack kim cương cực uy tín tại https://tinyurl.com/wiihkp86",3
Cho mình đặt phòng số 0812544401 nhé shop,0
"Mình cần đặt lịch khám, sđt 0819586696",0
Nhận ngay 500k tiền thưởng tại https://shope.ee/63bgbvlq,3
Mọi người xem menu quán ở đây nha: https://shope.ee/2rpgnhht,0
Cho mình đặt phòng số 0916573296 nhé shop,0
"Tuyển CTV online lương 10tr/tháng, ib zalo 0904075963",3
Bạn ơi gọi mình số 0359525603 để chốt lịch nhé,0
"Tài khoản bị khóa, vào https://tinyurl.com/z8ai4wtw để mở",3
"Game nổ hũ cực lớn, click https://bit.ly/f9js1fvz nhận code",3
"Web cá độ uy tín, nạp đầu tặng 100%, link https://bit.ly/qn1q1kqx",3
"Việc nhẹ lương cao tại nhà, liên hệ ngay 0987141806",3
Có gì cứ liên hệ tớ qua 0984109735 nha bạn,0
"Số của mình là 0772804565, có gì alo nha",0
"Gái gọi cao cấp, xem ảnh tại https://gg.gg/g9ypw4sa",3
"Số của mình là 0339162167, có gì alo nha",0
Cho mình đặt phòng số 0881212140 nhé shop,0
Cho mình đặt phòng số 0336239286 nhé shop,0
"Check đơn giúp mình, sđt mình 0988740592",0
Gửi mình thông tin qua https://gg.gg/3cxbk090 nhé,0
Link shopee mình mua cái này nè: https://shope.ee/cggjeabd,0
"Vay vốn nhanh không thế chấp, alo 0799425045",3
Mọi người xem menu quán ở đây nha: https://t.me/5al4utgx,0
Gửi mình thông tin qua https://gg.gg/efxbmw0v nhé,0
Nhận quà tri ân từ Shopee tại https://gg.gg/4f3kmicr,3
Check inbox hoặc gọi mình 0914252390 để lấy hàng,0
"Bán bằng lái xe, hồ sơ gốc liên hệ 0919628903",3
Mọi người xem menu quán ở đây nha: https://t.me/1rcx0t2y,0
"Dịch vụ thám tử tư bảo mật, hotline 0986100859",3
Gọi mình số 0385809962 để lấy mã xác nhận đơn hàng,0
"Bán số lô số đề chuẩn 100%, add zalo 0338469431",3
"Thu mua sim số đẹp giá cao, liên hệ 0381964864",3
Gọi mình số 0338581140 để lấy mã xác nhận đơn hàng,0
"Cần tiền gọi ngay 0881764731, hỗ trợ nợ xấu",3
"Check đơn giúp mình, sđt mình 0343547242",0
Link đăng ký sự kiện cho ai cần: https://gg.gg/qbas6nkf,0
"Số của mình là 0382784688, có gì alo nha",0
Link tài liệu học tập đây nhé mn: https://gg.gg/h0u5gfow,0
Có gì cứ liên hệ tớ qua 0884982065 nha bạn,0
"Kiếm tiền triệu mỗi ngày, click https://zalo.me/tprfuozv",3
"Shop ơi số mình 0771881355, ship cho mình nhé",0
"Cần tiền gọi ngay 0384172004, hỗ trợ nợ xấu",3
Link shopee mình mua cái này nè: https://zalo.me/urugwi9k,0
"Web cá độ uy tín, nạp đầu tặng 100%, link https://tinyurl.com/iydx4won",3
Bạn ơi gọi mình số 0335299390 để chốt lịch nhé,0
"Bạn trúng thưởng 1 xe SH, xác thực tại https://tinyurl.com/ix4tn1om",3
Cho mình đặt phòng số 0905481626 nhé shop,0
"Tài khoản bị khóa, vào https://shope.ee/20q7cgzu để mở",3
Shop gọi lại số 0333015423 tư vấn tour nhé,0
"Bán bằng lái xe, hồ sơ gốc liên hệ 0351999941",3
"Dịch vụ thám tử tư bảo mật, hotline 0881733249",3
Cho mình đặt phòng số 0915580561 nhé shop,0
Nhận làm chứng chỉ ngoại ngữ giá rẻ 0332407180,3
Check inbox hoặc gọi mình 0389208643 để lấy hàng,0
Nhận ngay 500k tiền thưởng tại https://tinyurl.com/2ndpa79p,3
Mọi người xem menu quán ở đây nha: https://bit.ly/9c66x0ih,0
"Cần thuê phòng gấp, alo mình 0355738378",0
"Ai cần tư vấn cứ gọi 0888501667, mình rảnh lúc 5h",0
Bạn ơi gọi mình số 0388454955 để chốt lịch nhé,0
Gọi mình số 0777702202 để lấy mã xác nhận đơn hàng,0
"Hack vàng, hack kim cương cực uy tín tại https://t.me/5gkvaouy",3
"Cơ hội làm giàu không khó, truy cập https://gg.gg/dhb2p3th",3
Link đăng ký sự kiện cho ai cần: https://zalo.me/03e3l81y,0
Mọi người xem menu quán ở đây nha: https://shope.ee/kobopy19,0
Gọi mình số 0779723358 để lấy mã xác nhận đơn hàng,0
"Hack vàng, hack kim cương cực uy tín tại https://gg.gg/v6l52g1r",3
Cho mình đặt phòng số 0799078096 nhé shop,0
"Bán bằng lái xe, hồ sơ gốc liên hệ 0347665984",3
Nhận làm chứng chỉ ngoại ngữ giá rẻ 0889477404,3
"Web cá độ uy tín, nạp đầu tặng 100%, link https://bit.ly/im947vpy",3
"Tuyển CTV online lương 10tr/tháng, ib zalo 0799955798",3
"Tài khoản bị khóa, vào https://tinyurl.com/ualnvraj để mở",3
"Web cá độ uy tín, nạp đầu tặng 100%, link https://shope.ee/y7r5evoy",3
"Check đơn giúp mình, sđt mình 0917893320",0
"Hỗ trợ mình qua số 0345428692 với, app bị lỗi",0
Link shopee mình mua cái này nè: https://zalo.me/pouv978y,0
Link đăng ký sự kiện cho ai cần: https://t.me/xlkibpkv,0
"Thu mua sim số đẹp giá cao, liên hệ 0798902575",3
Nhận ngay 500k tiền thưởng tại https://shope.ee/qn21b6xm,3
"Check đơn giúp mình, sđt mình 0354094813",0
Gọi mình số 0341582282 để lấy mã xác nhận đơn hàng,0
Mọi người xem menu quán ở đây nha: https://shope.ee/qz1flyrs,0
Link đăng ký sự kiện cho ai cần: https://tinyurl.com/7ke6t1b9,0
"Bạn trúng thưởng 1 xe SH, xác thực tại https://t.me/8tuwu047",3
"Thu mua sim số đẹp giá cao, liên hệ 0903407386",3
Gọi mình số 0817619861 để lấy mã xác nhận đơn hàng,0
"Hỗ trợ mình qua số 0385318205 với, app bị lỗi",0
"Bạn trúng thưởng 1 xe SH, xác thực tại https://tinyurl.com/6fkeu86x",3
Bạn ơi gọi mình số 0343997680 để chốt lịch nhé,0
Cho mình đặt phòng số 0905281456 nhé shop,0
"Tài khoản bị khóa, vào https://gg.gg/gp31pqvn để mở",3
Tư vấn cho mình qua zalo 0984354595 với ạ,0
Có gì cứ liên hệ tớ qua 0889670691 nha bạn,0
Có gì cứ liên hệ tớ qua 0988271260 nha bạn,0
"Dịch vụ thám tử tư bảo mật, hotline 0338580363",3
"Bên mình cung cấp phôi bằng các loại, alo 0817427668",3
"Số của mình là 0911442447, có gì alo nha",0
"Bán bằng lái xe, hồ sơ gốc liên hệ 0885026864",3
"Thu mua sim số đẹp giá cao, liên hệ 0814125561",3
"Dịch vụ thám tử tư bảo mật, hotline 0382462716",3
"Số của mình là 0382576742, có gì alo nha",0
"Số của mình là 0791110879, có gì alo nha",0
"Game nổ hũ cực lớn, click https://bit.ly/7sqadi9m nhận code",3
"Hỗ trợ mình qua số 0347509871 với, app bị lỗi",0
Cho mình đặt phòng số 0775063366 nhé shop,0
"Game nổ hũ cực lớn, click https://gg.gg/aiuw6xmb nhận code",3
"Bán số lô số đề chuẩn 100%, add zalo 0342384465",3
"Bán bằng lái xe, hồ sơ gốc liên hệ 0346150390",3
"Cần thuê phòng gấp, alo mình 0333843263",0
"Thu mua sim số đẹp giá cao, liên hệ 0793085616",3
Link đăng ký sự kiện cho ai cần: https://zalo.me/3j16p13j,0
Gửi mình thông tin qua https://t.me/hv49mmq9 nhé,0
"Gái gọi cao cấp, xem ảnh tại https://t.me/hxno023t",3
Gửi mình thông tin qua https://t.me/rl7bvj8r nhé,0
Check inbox hoặc gọi mình 0985959774 để lấy hàng,0
"Số của mình là 0342446804, có gì alo nha",0
"Việc nhẹ lương cao tại nhà, liên hệ ngay 0905852595",3
"Cần tiền gọi ngay 0908348260, hỗ trợ nợ xấu",3
Bạn ơi gọi mình số 0914158839 để chốt lịch nhé,0
Cho mình đặt phòng số 0982530457 nhé shop,0
Nhận ngay 500k tiền thưởng tại https://t.me/vwfo7glg,3
"Việc nhẹ lương cao tại nhà, liên hệ ngay 0771833047",3
Check inbox hoặc gọi mình 0385578562 để lấy hàng,0
"Web cá độ uy tín, nạp đầu tặng 100%, link https://tinyurl.com/x6fsbvsp",3
"Kiếm tiền triệu mỗi ngày, click https://t.me/loqg3ist",3
"Cơ hội làm giàu không khó, truy cập https://tinyurl.com/nt3w3a89",3
Nhận làm chứng chỉ ngoại ngữ giá rẻ 0901061906,3
"Gái gọi cao cấp, xem ảnh tại https://t.me/c1odobyr",3
Gửi mình thông tin qua https://gg.gg/xfdech2q nhé,0
"Thu mua sim số đẹp giá cao, liên hệ 0884715360",3
"Hỗ trợ mình qua số 0359885598 với, app bị lỗi",0
"Bán số lô số đề chuẩn 100%, add zalo 0387471470",3
Nhận làm chứng chỉ ngoại ngữ giá rẻ 0818188348,3
"Cần thuê phòng gấp, alo mình 0915124093",0
"Web cá độ uy tín, nạp đầu tặng 100%, link https://bit.ly/9qv7fs4g",3
"Vay vốn nhanh không thế chấp, alo 0358148499",3
"Dịch vụ thám tử tư bảo mật, hotline 0777536710",3
Check inbox hoặc gọi mình 0347700546 để lấy hàng,0
"Mình cần đặt lịch khám, sđt 0817643264",0
"Cần tiền gọi ngay 0793690458, hỗ trợ nợ xấu",3
"Cơ hội làm giàu không khó, truy cập https://gg.gg/sxv069zu",3
"Dịch vụ thám tử tư bảo mật, hotline 0983734178",3
Link tài liệu học tập đây nhé mn: https://gg.gg/j0uza20l,0
"Bán số lô số đề chuẩn 100%, add zalo 0343433380",3
"Web cá độ uy tín, nạp đầu tặng 100%, link https://t.me/zqbjzlwz",3
Nhận quà tri ân từ Shopee tại https://shope.ee/07yz856v,3
Đây là link driver ảnh hôm qua nhé: https://bit.ly/1a7eslb1,0
Check inbox hoặc gọi mình 0772493553 để lấy hàng,0
"Web cá độ uy tín, nạp đầu tặng 100%, link https://bit.ly/e2xrgaxj",3
Nhận ngay 500k tiền thưởng tại https://t.me/xnasy2aq,3
"Game nổ hũ cực lớn, click https://tinyurl.com/u5nairkv nhận code",3
Nhận ngay 500k tiền thưởng tại https://tinyurl.com/w5yau4y4,3
"Bán số lô số đề chuẩn 100%, add zalo 0988944950",3
Bạn ơi gọi mình số 0881634353 để chốt lịch nhé,0
Nhận ngay 500k tiền thưởng tại https://gg.gg/tdv31rxw,3
Có gì cứ liên hệ tớ qua 0349938987 nha bạn,0
Mọi người xem menu quán ở đây nha: https://shope.ee/ujs8c5ws,0
Bạn ơi gọi mình số 0818147408 để chốt lịch nhé,0
Shop gọi lại số 0797308470 tư vấn tour nhé,0
Tư vấn cho mình qua zalo 0814947038 với ạ,0
"Hack vàng, hack kim cương cực uy tín tại https://bit.ly/pipoodn0",3
Đây là link driver ảnh hôm qua nhé: https://bit.ly/5g1p1zwu,0
"Gái gọi cao cấp, xem ảnh tại https://bit.ly/l6jfur21",3
"Tài khoản bị khóa, vào https://gg.gg/7uq71jrn để mở",3
Đây là link driver ảnh hôm qua nhé: https://gg.gg/78ba0ksf,0
"Kiếm tiền triệu mỗi ngày, click https://shope.ee/lglu6qeh",3
Nhận quà tri ân từ Shopee tại https://gg.gg/hwn9urc8,3
Đây là link driver ảnh hôm qua nhé: https://zalo.me/mdu7zkat,0
"Shop ơi số mình 0985749481, ship cho mình nhé",0
"Cần thuê phòng gấp, alo mình 0914572495",0
"Web cá độ uy tín, nạp đầu tặng 100%, link https://t.me/lu0ikhvt",3
"Mình cần đặt lịch khám, sđt 0344127072",0
Nhận làm chứng chỉ ngoại ngữ giá rẻ 0794113275,3
Tư vấn cho mình qua zalo 0385804661 với ạ,0
"Cần tiền gọi ngay 0358034698, hỗ trợ nợ xấu",3
Gọi mình số 0779332675 để lấy mã xác nhận đơn hàng,0
"Hỗ trợ mình qua số 0389215831 với, app bị lỗi",0
Đây là link driver ảnh hôm qua nhé: https://shope.ee/s944va3j,0
"Tài khoản bị khóa, vào https://zalo.me/avqjhsjl để mở",3
"Hỗ trợ mình qua số 0982355708 với, app bị lỗi",0
Check inbox hoặc gọi mình 0382414546 để lấy hàng,0
Nhận ngay 500k tiền thưởng tại https://tinyurl.com/gf4uc9zs,3
Mọi người xem menu quán ở đây nha: https://t.me/b8uiv179,0
"Việc nhẹ lương cao tại nhà, liên hệ ngay 0335640011",3
Check inbox hoặc gọi mình 0775130589 để lấy hàng,0
Gọi mình số 0346846982 để lấy mã xác nhận đơn hàng,0
Nhận ngay 500k tiền thưởng tại https://bit.ly/c446fbez,3
"Cần tiền gọi ngay 0908912687, hỗ trợ nợ xấu",3
"Hack vàng, hack kim cương cực uy tín tại https://zalo.me/bw3cq82m",3
"Web cá độ uy tín, nạp đầu tặng 100%, link https://shope.ee/zwavm7bf",3
Cho mình đặt phòng số 0387830731 nhé shop,0
"Cần thuê phòng gấp, alo mình 0343204272",0
"Cơ hội làm giàu không khó, truy cập https://t.me/er7jvqoo",3
"Gái gọi cao cấp, xem ảnh tại https://tinyurl.com/qmz9o0p6",3
Nhận quà tri ân từ Shopee tại https://gg.gg/nx96y2em,3
Có gì cứ liên hệ tớ qua 0334992155 nha bạn,0
Nhận quà tri ân từ Shopee tại https://tinyurl.com/yi3jvq78,3
"Cơ hội làm giàu không khó, truy cập https://bit.ly/xhh1md4n",3
"Bên mình cung cấp phôi bằng các loại, alo 0902268173",3
"Cần tiền gọi ngay 0905484861, hỗ trợ nợ xấu",3
"Việc nhẹ lương cao tại nhà, liên hệ ngay 0905466384",3
Gửi mình thông tin qua https://gg.gg/l7qp0bng nhé,0
"Tài khoản bị khóa, vào https://gg.gg/s82rkqr3 để mở",3
"Hỗ trợ mình qua số 0383312162 với, app bị lỗi",0
Link đăng ký sự kiện cho ai cần: https://tinyurl.com/2smd0czo,0
"Tài khoản bị khóa, vào https://bit.ly/1cquh1s1 để mở",3
Nhận ngay 500k tiền thưởng tại https://zalo.me/4mvd24cl,3
"Bạn trúng thưởng 1 xe SH, xác thực tại https://zalo.me/rd9bst40",3
Link tài liệu học tập đây nhé mn: https://gg.gg/69g6rtj2,0
Nhận ngay 500k tiền thưởng tại https://tinyurl.com/6shamum4,3
"Bán bằng lái xe, hồ sơ gốc liên hệ 0359107546",3
Có gì cứ liên hệ tớ qua 0772738363 nha bạn,0
Gọi mình số 0386807586 để lấy mã xác nhận đơn hàng,0
Shop gọi lại số 0811755749 tư vấn tour nhé,0
"Cần thuê phòng gấp, alo mình 0796993408",0
"Cơ hội làm giàu không khó, truy cập https://bit.ly/zor54gti",3
Link đăng ký sự kiện cho ai cần: https://tinyurl.com/4ia9uuvb,0
"Mình cần đặt lịch khám, sđt 0351546959",0
"Bên mình cung cấp phôi bằng các loại, alo 0907356130",3
"Vay vốn nhanh không thế chấp, alo 0887616700",3
Shop gọi lại số 0817389364 tư vấn tour nhé,0
Đây là link driver ảnh hôm qua nhé: https://tinyurl.com/6fr41xey,0
"Kiếm tiền triệu mỗi ngày, click https://bit.ly/e4q6dfde",3
Link đăng ký sự kiện cho ai cần: https://zalo.me/1ntjztjr,0
Link tài liệu học tập đây nhé mn: https://gg.gg/c8cueqhj,0
Link đăng ký sự kiện cho ai cần: https://tinyurl.com/dsrbiqjw,0
Mọi người xem menu quán ở đây nha: https://tinyurl.com/ioyt6f6t,0
Link shopee mình mua cái này nè: https://t.me/pnzartja,0
"Tuyển CTV online lương 10tr/tháng, ib zalo 0334232292",3
"Bán số lô số đề chuẩn 100%, add zalo 0912547922",3
Cho mình đặt phòng số 0902424315 nhé shop,0
Gửi mình thông tin qua https://tinyurl.com/x69ngoqi nhé,0
"Web cá độ uy tín, nạp đầu tặng 100%, link https://t.me/f9qv5obw",3
Link shopee mình mua cái này nè: https://zalo.me/vshygqc8,0
"Gái gọi cao cấp, xem ảnh tại https://gg.gg/mct81d0j",3
"Check đơn giúp mình, sđt mình 0981443729",0
"Bên mình cung cấp phôi bằng các loại, alo 0338961108",3
Có gì cứ liên hệ tớ qua 0342567134 nha bạn,0
"Dịch vụ thám tử tư bảo mật, hotline 0909848816",3
Nhận quà tri ân từ Shopee tại https://zalo.me/a772ih85,3
"Gái gọi cao cấp, xem ảnh tại https://gg.gg/decjkeam",3
"Ai cần tư vấn cứ gọi 0913467793, mình rảnh lúc 5h",0
Nhận làm chứng chỉ ngoại ngữ giá rẻ 0794056953,3
"Check đơn giúp mình, sđt mình 0886536260",0
Cho mình đặt phòng số 0917555646 nhé shop,0
